"wd16cd","wd16nm","lad16nm","2011_no2_total","2015_no2_total","2020_no2_total","2025_no2_total","2030_no2_total","2011_pm25_total","2011_pm25_secondary","2011_pm25_residual_salt","2015_pm25_total","2015_pm25_secondary","2015_pm25_residual_salt","2020_pm25_total","2020_pm25_secondary","2020_pm25_residual_salt","2025_pm25_total","2025_pm25_secondary","2025_pm25_residual_salt","2030_pm25_total","2030_pm25_secondary","2030_pm25_residual_salt"
"E05000738","Werneth","Oldham",27.5979920731707,22.667672195122,18.0693020121951,14.5985492073171,12.9137592073171,12.8647854878049,4.578447,4.88810856097561,8.95743522560976,2.895748,3.70980655487805,8.42389813414634,2.657412,3.65859155487805,8.25978023780488,2.538966,3.6562328597561,8.23762835365854,2.470677,3.6652868597561
"E05000739","Balderstone and Kirkholt","Rochdale",25.7682239156627,20.3653701204819,15.9078762449799,12.5200821184739,10.7971634678715,12.3809881124498,4.48510412048193,5.12991395381526,8.64542112449799,2.84424306425703,3.98030814658635,8.14561712449799,2.61255691767068,3.92909324096386,7.98525423493976,2.49749914257028,3.92673454417671,7.9486686626506,2.43046028915663,3.93578859437751
"E05000740","Bamford","Rochdale",19.4688291588785,15.9090003271028,12.674878317757,10.3148609345794,9.12995954906542,11.0691399766355,4.434156,4.43910610747664,7.58549612149533,2.830686,3.26086913084112,7.1700503317757,2.600731,3.20965417990654,7.02538944626168,2.486553,3.20729543224299,6.98375526869159,2.41984,3.21634943224299
"E05000741","Castleton","Rochdale",24.769189503632,19.6745500968523,15.5691229782082,12.5000018038741,10.8878707978208,12.1453180145278,4.45733344915254,4.94492640799032,8.40993776634383,2.84487019249395,3.78402965496368,7.91342113801453,2.61307819249395,3.73281481719128,7.75700063317191,2.49796349273608,3.73045604842615,7.71996182566586,2.43090627723971,3.7395099503632
"E05000742","Central Rochdale","Rochdale",23.5681549456522,20.5095006521739,16.5731663586957,13.6750925543478,12.1505204891304,12.048589076087,4.47516035869565,4.6023064076087,8.41195308152174,2.84012664130435,3.43919020108696,7.91766283152174,2.60897176086957,3.38797520108696,7.76054655978261,2.49418452173913,3.38561664673913,7.73106435326087,2.42724514130435,3.39467064673913
"E05000743","East Middleton","Rochdale",25.3454067657993,21.0294382156134,16.7927259107807,13.7426439033457,12.2352482527881,12.2628408550186,4.48470151301115,4.6997074535316,8.45694046840149,2.863663,3.49019162825279,7.94615300743494,2.62944400371747,3.43897662825279,7.7911459330855,2.51309249442379,3.43661769516729,7.76335571747212,2.44557812639405,3.44567162825279
"E05000744","Healey","Rochdale",16.913111971831,13.5991229401408,10.9757056478873,9.06209372183099,8.05087329929577,10.5466506672535,4.42099318838028,4.32758419366197,7.22177772359155,2.81853971830986,3.14432635387324,6.83034129577465,2.5867545334507,3.09311159859155,6.68857755633803,2.47062810739437,3.09075293133803,6.64336188908451,2.4030929665493,3.09980683098592
"E05000745","Hopwood Hall","Rochdale",24.6859835962877,19.3430266589327,15.2794755916473,12.1785950580046,10.5798665916473,12.1311778538283,4.4566407424594,5.00122669141531,8.44389534686775,2.85090427958237,3.89721920649652,7.95531520301624,2.61842310092807,3.84600421693735,7.79820277958237,2.50312655800464,3.84364548491879,7.75870826102088,2.43594649187935,3.85269946983759
"E05000746","Kingsway","Rochdale",23.0695853185596,19.2079117174515,15.1725614127424,12.2848320221607,10.8224713434903,11.9838764542936,4.498095,4.81104845429363,8.68468999168975,2.845407,3.64238879224377,8.22279947645429,2.613581,3.59117376454294,8.07312037950138,2.498453,3.58881490858726,8.04244059833795,2.431387,3.59786890858726
"E05000747","Littleborough Lakeside","Rochdale",14.7019192584515,11.401070219193,9.03294189022174,7.44682795783351,6.59978907778989,10.079327040349,4.49360931443112,4.30153228426027,6.95911484478371,2.83636841802981,3.16388777026536,6.58476739840058,2.60160177462741,3.11263960632497,6.44831470119956,2.48382678625954,3.11026682188295,6.39737244674664,2.415476130498,3.11931074554707
